2.566899999999999959e+00,9.899999999999999911e-01,9.899999999999999911e-01,9.899999999999999911e-01
2.559896759245279263e+00,9.900000534177387790e-01,9.900000002255207043e-01,9.900000000019961721e-01
2.559893518508602916e+00,9.899993674410263456e-01,9.899999991031478430e-01,9.900000000014148593e-01
2.559890278244002282e+00,9.899979008684629544e-01,9.899999916380302079e-01,9.899999999334256895e-01
2.559887039396985475e+00,9.899960660775798393e-01,9.899999748447484427e-01,9.899999996630497456e-01
2.559883803141017378e+00,9.899940118021283153e-01,9.899999472067358974e-01,9.899999990228203206e-01
2.559880570766838837e+00,9.899918122776826257e-01,9.899999077982281070e-01,9.899999978286024849e-01
2.559877343638831348e+00,9.899895113042370687e-01,9.899998560074284581e-01,9.899999958858309856e-01
2.559874123138552449e+00,9.899871370196952070e-01,9.899997914475850980e-01,9.899999929975783486e-01
2.559870910653107234e+00,9.899847084007228348e-01,9.899997138638412242e-01,9.899999889662157715e-01
2.559867707583491026e+00,9.899822386848330380e-01,9.899996230662910790e-01,9.899999835922227431e-01
2.559864515333469370e+00,9.899797374644007109e-01,9.899995189281735053e-01,9.899999766757754394e-01
2.559861335292587192e+00,9.899772118060808923e-01,9.899994013698704132e-01,9.899999680191730045e-01
2.559858168834236558e+00,9.899746670294666817e-01,9.899992703468166733e-01,9.899999574271126646e-01
2.559855017311283287e+00,9.899721072042443337e-01,9.899991258418002760e-01,9.899999447073128955e-01
2.559851882052168293e+00,9.899695354865145625e-01,9.899989678595852993e-01,9.899999296710688679e-01
2.559848764357489870e+00,9.899669543521827375e-01,9.899987964229759463e-01,9.899999121337388353e-01
2.559845665497058498e+00,9.899643657625445403e-01,9.899986115697985145e-01,9.899998919151624666e-01
2.559842586708117373e+00,9.899617712839554606e-01,9.899984133500725481e-01,9.899998688399133107e-01
2.559839529195455654e+00,9.899591721759101182e-01,9.899982018229108727e-01,9.899998427372802556e-01
2.559836494132635032e+00,9.899565694571613728e-01,9.899979770537287171e-01,9.899998134410901152e-01
2.559833482662968951e+00,9.899539639560404058e-01,9.899977391123816473e-01,9.899997807895657420e-01
2.559830495901884717e+00,9.899513563489295009e-01,9.899974880711329694e-01,9.899997446249868549e-01
2.559827534944233651e+00,9.899487471899760527e-01,9.899972240008133584e-01,9.899997047926440974e-01
2.559824600875348910e+00,9.899461369345606832e-01,9.899969469662130983e-01,9.899996611392589685e-01
2.559821694779902845e+00,9.899435259580013913e-01,9.899966570234964847e-01,9.899996135117180573e-01
2.559818817746198683e+00,9.899409145702343649e-01,9.899963542200881372e-01,9.899995617564605332e-01
2.559815970868516199e+00,9.899383030272010942e-01,9.899960385953445741e-01,9.899995057191430803e-01
2.559813153495348992e+00,9.899356915050329109e-01,9.899957108710268905e-01,9.899994454947764755e-01
2.559810368075888576e+00,9.899330801799796076e-01,9.899953704929153053e-01,9.899993807355758069e-01
